"","BookTitle","AuthorName","ListEntries","List"
"223","This Time Tomorrow","Emma Straub",1,"Fiction"
"224","Tom Clancy: Red Winter","Marc Cameron",1,"Fiction"
"225","Tom Clancy: Zero Hour","Don Bentley",1,"Fiction"
"226","Treasure State","CJ Box",1,"Fiction"
"227","Two Nights In Lisbon","Chris Pavone",1,"Fiction"
"228","Unnatural History","Jonathan Kellerman",1,"Fiction"
"229","Wicked Beauty","Katee Robert",1,"Fiction"
"230","Without A Trace","Danielle Steel",1,"Fiction"
"231","Worthy Opponents","Danielle Steel",1,"Fiction"
"232","Yours Truly","Abby Jimenez",1,"Fiction"
